sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_hslanum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp
IBF301050,M31-B01-F01-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-14T06:05:28.087000,12058,DALCANTON,10.84864041667,41.25498888889,32,15369.176,2010-12-14T21:52:53,2010-12-14T06:42:47.317000,IBF301050,,9
IBF301HZQ,M31-B01-F01-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-14T06:13:09.077000,12058,DALCANTON,10.84869725723,41.25502687448,32,11534.459,2010-12-14T21:41:55,2010-12-14T06:26:28.310000,IBF301HZQ,,1
IBF301IAQ,M31-B01-F01-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-14T06:44:46.103000,12058,DALCANTON,10.84867033674,41.25504090078,32,15369.176,2010-12-14T21:42:31,2010-12-14T06:53:05.333000,IBF301IAQ,,
IBF301030,M31-B01-F01-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-14T03:24:58.600000,12058,DALCANTON,10.84988779557,41.25507836507,32,3354.57375,2010-12-14T13:41:44,2010-12-14T04:51:28.597000,IBF301030,,9
IBF301040,M31-B01-F01-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-14T04:29:38.600000,12058,DALCANTON,10.84988779557,41.25507836507,32,2706.4933,2010-12-14T13:42:02,2010-12-14T05:05:06.583000,IBF301040,,9
JBF304010,M31-B01-F01-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-22T21:05:37.257000,12058,DALCANTON,10.84465431408,41.25135782487,32,8045.5298,2010-07-23T02:53:35,2010-07-22T21:46:00.320000,JBF304010,,9
JBF304020,M31-B01-F01-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-22T22:34:36.263000,12058,DALCANTON,10.84465566907,41.25135757242,32,4746.957,2010-07-23T04:57:59,2010-07-22T23:18:03.297000,JBF304020,,9
IBF302050,M31-B01-F02-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-16T17:12:31.093000,12058,DALCANTON,10.80853958333,41.26841111111,32,15369.176,2010-12-17T03:14:42,2010-12-16T18:55:04.310000,IBF302050,,9
IBF302WHQ,M31-B01-F02-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-16T17:43:36.087000,12058,DALCANTON,10.80859643557,41.2684490967,32,11534.459,2010-12-17T03:05:16,2010-12-16T17:56:55.317000,IBF302WHQ,,1
IBF302WSQ,M31-B01-F02-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-16T19:27:29.077000,12058,DALCANTON,10.80856950955,41.268463123,32,15369.176,2010-12-17T03:11:25,2010-12-16T19:35:48.310000,IBF302WSQ,,
IBF302030,M31-B01-F02-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-16T15:49:44.583000,12058,DALCANTON,10.80978721863,41.26850058728,32,3354.57375,2010-12-17T00:55:52,2010-12-16T16:23:15.573000,IBF302030,,9
IBF302040,M31-B01-F02-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-16T16:01:25.607000,12058,DALCANTON,10.80978721863,41.26850058728,32,2706.4933,2010-12-17T00:58:58,2010-12-16T16:36:53.590000,IBF302040,,9
JBF305010,M31-B01-F02-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-23T08:12:39.270000,12058,DALCANTON,10.80457798501,41.264780019,32,8045.5298,2010-07-23T11:26:38,2010-07-23T08:53:11.297000,JBF305010,,9
JBF305020,M31-B01-F02-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-23T09:45:30.280000,12058,DALCANTON,10.80457934028,41.26477976655,32,4746.957,2010-07-23T13:39:57,2010-07-23T10:28:57.310000,JBF305020,,9
IBF303050,M31-B01-F03-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-18T02:46:46.103000,12058,DALCANTON,10.76843916667,41.28183333333,32,15369.176,2010-12-18T11:46:15,2010-12-18T03:24:05.333000,IBF303050,,9
IBF303DHQ,M31-B01-F03-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-18T02:54:27.093000,12058,DALCANTON,10.7684960306,41.28187131892,32,11534.459,2010-12-18T11:35:14,2010-12-18T03:07:46.327000,IBF303DHQ,,1
IBF303DSQ,M31-B01-F03-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-18T04:22:42.103000,12058,DALCANTON,10.76846909905,41.28188534522,32,15369.176,2010-12-18T11:36:21,2010-12-18T04:31:01.333000,IBF303DSQ,,
IBF303030,M31-B01-F03-UVIS,0,0,0,WFC3  ,UVIS-CENTER,F336W,0.0,2010-12-17T23:52:58.600000,12058,DALCANTON,10.76968705854,41.2819228095,32,3354.6558,2010-12-18T04:12:05,2010-12-18T00:02:08.597000,IBF303030,,
